ID,Volcano,GVP Volcano Number,Eruption_name,Magma_type,Eruption_type,MER_kg/s,MER_note,Vent_elevation_km,Column_height_km,Column_top_altitude_km,Column_height_note,Duration_hr,Duration_note
CL_CHT_20080502,Chaiten,358041,Chaiten 2008 05 May 02,Silicic,Magmatic large,,,1.1,13,14,VIS_A06_MID,6.0,UDS
CL_CHT_20080506,Chaiten,358041,Chaiten 2008 05 May 06,Silicic,Magmatic large,,,1.1,19,20,VIS_A06,,
CL_HUD_19910808,Mt Hudson,358057,Mt Hudson 1991 08 August 08,Mafic,Steam-driven,,,1.9,10,12,UDS_A06,,
CL_HUD_19910812,Mt Hudson,358057,Mt Hudson 1991 08 August 12,Intermediate,Magmatic large,7E+07,PUB_UDS,1.9,14,16,VIS_A06,31.0,UDS
CL_QZP_19320410,Quizapu,357060,Quizapu 1932 04 April 10-11,Intermediate,Magmatic large,1.5E+08,PUB_UDS,3.3,26,29,VIS_A06_MID,18.0,UDS_MIN
CO_NDR_19851113,Nevado del Ruiz,351020,Nevado del Ruiz 1985 11 November 13,Intermediate,Magmatic large,3.2E+07,THS_CMD,5.3,26,31,UDS_PVD,0.3,UDS
EC_QLT_800BP_Q1,Quilotoa,352060,Quilotoa Geology 800 yBP Q-1,Intermediate,Magmatic large,2E+08,PUB_CAL,3.9,31,35,CAL_PVD,62.0,CAL
EC_RVT_20021103,Reventador,352010,Reventador 2002 11 November 03,Intermediate,Magmatic small to moderate,1E+07,PUB_UDS,3.6,13,17,UDS_A06,22.0,UDS
GR_NSY_LP_north,Nisyros,212050,Nisyros Geology Lower Pumice north vent,Silicic,Magmatic small to moderate,1.8E+07,PUB_CAL_ERR,0.7,14,15,CAL_PVD_ERR,4.4,CAL
GR_NSY_LP_south,Nisyros,212050,Nisyros Geology Lower Pumice south vent,Silicic,Magmatic small to moderate,1.19E+08,PUB_CAL_ERR,0.7,14,15,CAL_PVD_ERR,9.5,CAL
GR_NSY_UP_north,Nisyros,212050,Nisyros Geology Upper Pumice north vent,Silicic,Magmatic small to moderate,1.4E+07,PUB_CAL_ERR,0.7,9,10,CAL_PVD,3.5,CAL
GR_NSY_UP_south,Nisyros,212050,Nisyros Geology Upper Pumice south vent,Silicic,Magmatic small to moderate,1.6E+07,PUB_CAL_ERR,0.7,14,15,CAL_PVD_ERR,1.7,CAL
GT_FUE_19710914,Fuego,342090,Fuego 1971 09 September 14,Mafic,Magmatic small to moderate,1.7E+06,PUB_UDS,3.8,6,10,VIS_A06,12.0,UDS
GT_FUE_19741014,Fuego,342090,Fuego 1974 10 October 14,Mafic,Magmatic small to moderate,3E+06,PUB_VDD,3.8,11,15,UDS_PVD,5.0,UDS
GT_SMA_19021025,Santa Maria,342030,Santa Maria 1902 10 October 25,Intermediate,Magmatic large,2.5E+08,PUB_UDS_MID,3.7,25,28,UDS_PVD_EMN,19.0,UDS
IS_HEK_1104_H1,Hekla,372070,Hekla Geology 1104 H1,Silicic,Magmatic large,8.6E+07,PUB_CAL_MID,1.5,22,23,CAL_A02_MID,12.0,UDS_VAG
IS_HEK_1158,Hekla,372070,Hekla Geology 1158,Intermediate,Magmatic small to moderate,3.8E+07,PUB_CAL_MID,1.5,18,19,CAL_A02_MID,24.0,UDS_MAX
IS_HEK_1300_D,Hekla,372070,Hekla Geology 1300-D,Intermediate,Magmatic large,9.5E+07,PUB_CAL_MID,1.5,23,24,CAL_A02_MID,24.0,UDS_VAG
